Clave,Titulo,Operacion,Tipo,Precio,Moneda,Ciudad,Colonia,Direccion,Recamaras,Baños,Estacionamientos,Construccion,Terreno,Amenidades,Enlace,Descripcion
HZ-011,Terreno urbano en Ojocaliente,Venta,Terreno,2350000,MXN,Aguascalientes,Ojocaliente,Av. Aguascalientes Oriente 760,,,,,760,esquina|uso mixto|servicios municipales,https://agentesia.diabolicalservices.tech/p/HZ-011,Terreno en esquina con uso de suelo mixto. Alto flujo vehicular.
HZ-012,Local comercial sobre Av. Aguascalientes,Venta,Local,4800000,MXN,Aguascalientes,Las Américas,Av. Aguascalientes Sur 415,,2,4,180,220,estacionamiento propio|cortina automática|baño para clientes,https://agentesia.diabolicalservices.tech/p/HZ-012,Local a pie de avenida con estacionamiento propio. Actualmente rentado.
HZ-013,Local en plaza comercial Norte,Venta,Local,3100000,MXN,Aguascalientes,Punto Norte,Plaza Norte Local 22,,1,,95,,aire acondicionado|seguridad 24h|estacionamiento de plaza,https://agentesia.diabolicalservices.tech/p/HZ-013,Local en plaza con alto tránsito. Anclas comerciales establecidas.
HZ-014,Oficina en corporativo Torre Plaza,Venta,Oficina,2950000,MXN,Aguascalientes,Centro,Av. Chávez 200 Piso 9,,2,2,140,,elevador|recepción|sala de juntas|aire acondicionado,https://agentesia.diabolicalservices.tech/p/HZ-014,Oficina acondicionada con cuatro privados y sala de juntas. Lista para ocupar.
HZ-015,Bodega industrial en Parque Siglo XXI,Venta,Otro,7800000,MXN,Aguascalientes,Parque Industrial Siglo XXI,Blvd. Siglo XXI 3400,,2,6,850,1100,andén de carga|oficina interior|altura 9m|subestación,https://agentesia.diabolicalservices.tech/p/HZ-015,Bodega con andén de carga y oficinas administrativas. Subestación eléctrica propia.
HZ-016,Casa en renta en Jesús María,Renta,Casa,12500,MXN,Jesús María,Real de Haciendas,Real de Minas 74,3,2,2,140,165,jardín|se aceptan mascotas|cocina integral,https://agentesia.diabolicalservices.tech/p/HZ-016,Casa en privada con vigilancia. Depósito de un mes y contrato anual.
HZ-017,Casa amueblada en renta en Ojocaliente,Renta,Casa,18500,MXN,Aguascalientes,Ojocaliente,Av. Independencia 512,3,2.5,2,175,190,amueblada|jardín|terraza|se aceptan mascotas,https://agentesia.diabolicalservices.tech/p/HZ-017,Completamente amueblada y equipada. Ideal para estancia corporativa.
HZ-018,Casa en renta en Bosques del Prado,Renta,Casa,28000,MXN,Aguascalientes,Bosques del Prado Norte,Bosque de Cedros 19,4,3.5,3,290,380,jardín|alberca|estudio|seguridad 24h,https://agentesia.diabolicalservices.tech/p/HZ-018,Residencia amplia en zona premium. Mantenimiento de jardín incluido.
HZ-019,Departamento en renta en el Centro,Renta,Departamento,7800,MXN,Aguascalientes,Centro,Calle Galeana 88 Int 2,1,1,,52,,balcón|amueblado,https://agentesia.diabolicalservices.tech/p/HZ-019,Departamento de una recámara amueblado. Servicios incluidos excepto luz.
HZ-020,Departamento en renta en Punto Norte,Renta,Departamento,15200,MXN,Aguascalientes,Punto Norte,Av. Universidad 1801 Torre A,2,2,1,92,,elevador|gimnasio|alberca|seguridad 24h|roof garden,https://agentesia.diabolicalservices.tech/p/HZ-020,Torre con amenidades completas. Mantenimiento incluido en la renta.
HZ-021,Local en renta en Centro Histórico,Renta,Local,22000,MXN,Aguascalientes,Centro,Calle 5 de Mayo 320,,1,,110,,cortina automática|bodega interior|alto flujo peatonal,https://agentesia.diabolicalservices.tech/p/HZ-021,Local a pie de calle en corredor comercial. Excelente exhibición.
HZ-022,Local en renta sobre Av. Convención,Renta,Local,38000,MXN,Aguascalientes,Jardines de la Asunción,Av. de la Convención Sur 480,,2,5,230,,estacionamiento propio|aire acondicionado|bodega|baño para clientes,https://agentesia.diabolicalservices.tech/p/HZ-022,Local amplio con estacionamiento para cinco autos. Apto para restaurante.
HZ-023,Oficina en renta en corredor Chávez,Renta,Oficina,16500,MXN,Aguascalientes,Centro,Av. Chávez 200 Piso 5,,1,1,85,,elevador|recepción compartida|internet incluido|aire acondicionado,https://agentesia.diabolicalservices.tech/p/HZ-023,Oficina con dos privados y área abierta. Servicios de recepción compartidos.
HZ-024,Bodega en renta en zona industrial,Renta,Otro,45000,MXN,Aguascalientes,Parque Industrial Siglo XXI,Blvd. Siglo XXI 2890,,1,4,600,,andén de carga|altura 8m|oficina interior|vigilancia,https://agentesia.diabolicalservices.tech/p/HZ-024,Bodega con andén y oficina. Acceso para tráiler y vigilancia del parque.
